"","X1.x","yearID.x","playerID","teamID.x","lgID.x.x","G_all.x","GS.x.x","G_batting.x","G_defense.x","G_p.x","G_c.x","G_1b.x","G_2b.x","G_3b.x","G_ss.x","G_lf.x","G_cf.x","G_rf.x","G_of.x","G_dh.x","G_ph.x","G_pr.x","stint.x.x","G.x.x","AB.x","R.x","H.x","2B.x","3B.x","HR.x","RBI.x","SB.x.x","CS.x.x","BB.x","SO.x","IBB.x","HBP.x","SH.x","SF.x","GIDP.x","BA.x","1B.x","OPS.x","BAClass.x","OPSClass.x","X1.y","yearID.y","teamID.y","lgID.x.y","G_all.y","GS.x.y","G_batting.y","G_defense.y","G_p.y","G_c.y","G_1b.y","G_2b.y","G_3b.y","G_ss.y","G_lf.y","G_cf.y","G_rf.y","G_of.y","G_dh.y","G_ph.y","G_pr.y","stint.x.y","G.x.y","AB.y","R.y","H.y","2B.y","3B.y","HR.y","RBI.y","SB.x.y","CS.x.y","BB.y","SO.y","IBB.y","HBP.y","SH.y","SF.y","GIDP.y","BA.y","1B.y","OPS.y","BAClass.y","OPSClass.y"
"11",30614,2014,"aguilje01","CLE","AL",19,11,19,13,0,0,12,0,1,0,0,0,0,0,5,4,0,1,19,33,2,4,0,0,0,3,0,0,4,13,0,0,0,1,1,0.121212121212121,4,0.331738437001595,"AvgPoor","AvgPoor",31306,2015,"CLE","AL",7,5,7,4,0,0,4,0,0,0,0,0,0,0,3,2,0,1,7,19,0,6,1,0,0,2,0,0,0,7,0,1,0,0,0,0.315789473684211,5,0.718421052631579,"Good","AvgPoor"
"12",30615,2014,"ahmedni01","ARI","NL",25,18,25,20,0,0,0,2,0,18,0,0,0,0,0,1,4,1,25,70,9,14,2,0,1,4,0,1,3,10,0,0,2,0,2,0.2,11,0.504305283757339,"AvgPoor","AvgPoor",31307,2015,"ARI","NL",134,116,134,129,0,0,0,0,0,129,0,0,0,0,0,6,3,1,134,421,49,95,17,6,9,34,4,5,29,81,1,1,5,3,4,0.225653206650831,63,0.634000230204987,"AvgPoor","AvgPoor"
"13",30616,2014,"alcanar01","CHN","NL",70,69,70,70,0,0,0,25,0,0,0,48,0,48,0,1,0,1,70,278,31,57,11,2,10,29,8,5,17,93,0,2,1,2,3,0.205035971223022,34,0.621087076826833,"AvgPoor","AvgPoor",31309,2015,"CHN","NL",11,7,11,9,0,0,0,8,2,0,0,0,0,0,0,4,0,1,11,26,5,2,0,0,0,1,1,0,5,11,0,0,1,0,0,0.1,2,0.30272952853598,"AvgPoor","AvgPoor"
"14",30617,2014,"almonab01","SDN","NL",32,24,32,25,0,0,0,0,0,0,16,15,0,25,0,6,1,2,32,98,9,26,5,0,2,7,1,2,6,20,0,0,2,1,4,0.26530612244898,19,0.682312925170068,"AvgPoor","AvgPoor",31310,2015,"CLE","AL",51,49,51,50,0,0,0,0,0,0,0,50,0,50,0,1,1,2,51,178,30,47,9,5,5,20,6,0,16,33,0,0,0,2,4,0.264044943820225,28,0.776484751203852,"AvgPoor","AvgPoor"
"15",30617,2014,"almonab01","SDN","NL",32,24,32,25,0,0,0,0,0,0,16,15,0,25,0,6,1,2,32,98,9,26,5,0,2,7,1,2,6,20,0,0,2,1,4,0.26530612244898,19,0.682312925170068,"AvgPoor","AvgPoor",31311,2015,"SDN","NL",31,10,31,14,0,0,0,0,0,0,6,6,2,14,1,17,1,1,31,54,6,11,3,0,0,4,1,1,5,19,0,0,3,0,1,0.203703703703704,8,0.530445699937225,"AvgPoor","AvgPoor"
"16",30618,2014,"almonab01","SEA","AL",27,25,27,26,0,0,0,0,0,0,0,26,0,26,1,0,1,1,27,106,10,21,5,1,1,8,3,1,6,40,0,1,0,0,1,0.19811320754717,14,0.540240440808148,"AvgPoor","AvgPoor",31310,2015,"CLE","AL",51,49,51,50,0,0,0,0,0,0,0,50,0,50,0,1,1,2,51,178,30,47,9,5,5,20,6,0,16,33,0,0,0,2,4,0.264044943820225,28,0.776484751203852,"AvgPoor","AvgPoor"
"17",30618,2014,"almonab01","SEA","AL",27,25,27,26,0,0,0,0,0,0,0,26,0,26,1,0,1,1,27,106,10,21,5,1,1,8,3,1,6,40,0,1,0,0,1,0.19811320754717,14,0.540240440808148,"AvgPoor","AvgPoor",31311,2015,"SDN","NL",31,10,31,14,0,0,0,0,0,0,6,6,2,14,1,17,1,1,31,54,6,11,3,0,0,4,1,1,5,19,0,0,3,0,1,0.203703703703704,8,0.530445699937225,"AvgPoor","AvgPoor"
"18",30619,2014,"almonzo01","NYA","AL",13,9,13,10,0,0,0,0,0,0,6,0,4,10,1,2,0,1,13,36,2,5,0,0,1,3,1,0,0,14,0,0,0,0,1,0.138888888888889,4,0.361111111111111,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",30620,2014,"alonsyo01","SDN","NL",84,72,84,78,0,0,77,0,3,0,0,0,0,0,0,6,0,1,84,267,27,64,19,1,7,27,6,1,17,36,1,1,0,3,8,0.239700374531835,37,0.681725967540574,"AvgPoor","AvgPoor",31312,2015,"SDN","NL",103,94,103,102,0,0,102,0,2,0,0,0,0,0,0,4,0,1,103,354,50,100,18,1,5,31,2,5,42,48,3,3,0,3,13,0.282485875706215,76,0.742052449616325,"Good","AvgPoor"
"20",30621,2014,"altheaa01","PHI","NL",2,1,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.1,0,0.288888888888889,"AvgPoor","AvgPoor",31313,2015,"PHI","NL",39,35,39,37,0,0,0,0,0,0,23,8,11,37,0,2,0,1,39,137,25,33,11,4,5,22,6,2,16,41,0,5,1,2,3,0.240875912408759,13,0.826551094890511,"AvgPoor","Good"
"21",30622,2014,"altuvjo01","HOU","AL",158,157,158,156,0,0,0,156,0,0,0,0,0,0,1,1,0,1,158,660,85,225,47,3,7,59,56,9,36,53,7,5,1,5,20,0.340909090909091,168,0.829800841273929,"Good","Good",31314,2015,"HOU","AL",154,154,154,153,0,0,0,153,0,0,0,0,0,0,1,0,0,1,154,638,86,200,40,4,15,66,38,13,33,67,8,9,3,6,17,0.313479623824451,141,0.812017328203113,"Good","Good"
"22",30623,2014,"alvarpe01","PIT","NL",122,103,122,104,0,0,5,0,99,0,0,0,0,0,3,16,0,1,122,398,46,92,13,1,18,56,8,3,45,113,6,2,0,0,12,0.231155778894472,60,0.716882163627124,"AvgPoor","AvgPoor",31316,2015,"PIT","NL",150,124,150,124,0,0,124,0,0,0,0,0,0,0,5,24,0,1,150,437,60,106,18,0,27,77,2,0,48,131,9,2,0,4,6,0.242562929061785,61,0.786826492424278,"AvgPoor","AvgPoor"
"23",30624,2014,"amarial01","SDN","NL",148,119,148,138,0,0,0,21,22,73,6,21,0,26,0,12,3,1,148,423,39,101,13,2,5,40,12,1,29,69,5,1,8,5,6,0.238770685579196,81,0.600447004655868,"AvgPoor","AvgPoor",31317,2015,"SDN","NL",118,87,118,105,1,0,0,11,2,85,11,7,0,18,0,22,1,1,118,324,28,66,10,4,3,30,5,1,24,55,4,1,3,5,6,0.203703703703704,49,0.544099183929692,"AvgPoor","AvgPoor"
"24",30625,2014,"andruel01","TEX","AL",157,156,157,153,0,0,0,0,0,153,0,0,0,0,4,1,0,1,157,619,72,163,35,1,2,41,27,15,46,96,0,3,9,7,21,0.263327948303716,125,0.646868904445641,"AvgPoor","AvgPoor",31319,2015,"TEX","AL",160,159,160,160,0,0,0,0,0,160,0,0,0,0,0,0,0,1,160,596,69,154,34,2,7,62,25,9,46,78,1,2,8,9,14,0.258389261744966,111,0.666724051101267,"AvgPoor","AvgPoor"
"25",30626,2014,"annade01","NYA","AL",12,7,12,12,1,0,0,3,0,9,0,0,0,0,0,0,0,1,12,22,3,3,1,0,1,3,0,0,2,6,0,0,0,1,0,0.136363636363636,1,0.518181818181818,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",30627,2014,"aokino01","KCA","AL",132,126,132,120,0,0,0,0,0,0,5,0,119,120,9,3,3,1,132,491,63,140,22,6,1,43,17,8,43,49,0,6,8,1,5,0.285132382892057,111,0.709841848278251,"Good","AvgPoor",31320,2015,"SFN","NL",93,86,93,87,0,0,0,0,0,0,86,0,2,87,1,6,0,1,93,355,42,102,12,3,5,26,14,5,30,25,0,6,1,0,8,0.287323943661972,82,0.733222866611433,"Good","AvgPoor"
"27",30628,2014,"arciaos01","MIN","AL",103,98,103,100,0,0,0,0,0,0,0,0,100,100,2,5,0,1,103,372,46,86,16,3,20,57,1,2,31,127,4,6,0,1,6,0.231182795698925,47,0.751612903225806,"AvgPoor","AvgPoor",31321,2015,"MIN","AL",19,18,19,19,0,0,0,0,0,0,15,0,4,19,0,1,0,1,19,58,6,16,0,0,2,8,0,0,4,15,4,2,0,1,2,0.275862068965517,14,0.717771883289125,"AvgPoor","AvgPoor"
"28",30629,2014,"arenano01","COL","NL",111,111,111,111,0,0,0,0,111,0,0,0,0,0,0,0,0,1,111,432,58,124,34,2,18,61,2,1,25,58,1,4,1,5,13,0.287037037037037,70,0.828326180257511,"Good","Good",31322,2015,"COL","NL",157,156,157,157,0,0,0,0,157,0,0,0,0,0,0,1,0,1,157,616,97,177,43,4,42,130,2,5,34,110,13,4,0,11,17,0.287337662337662,88,0.897983595352016,"Good","Good"
"29",30630,2014,"arencjp01","TEX","AL",63,58,62,45,1,22,22,0,0,0,0,0,0,0,16,2,0,1,63,203,20,36,9,0,10,35,0,0,10,62,0,7,0,2,6,0.177339901477833,17,0.608196866817556,"AvgPoor","AvgPoor",31323,2015,"TBA","AL",24,19,24,23,0,23,0,0,0,0,0,0,0,0,1,4,0,1,24,71,9,22,3,0,6,17,0,0,1,22,0,0,0,1,1,0.309859154929577,13,0.920702295967586,"Good","Good"
"30",30631,2014,"ariasjo01","SFN","NL",107,39,107,81,0,0,16,15,44,11,0,0,0,0,1,37,2,1,107,193,18,49,9,0,0,15,1,0,8,23,2,0,1,2,1,0.253886010362694,40,0.581306312054927,"AvgPoor","AvgPoor",31324,2015,"SFN","NL",40,9,40,20,0,0,2,2,8,8,0,0,0,0,1,20,2,1,40,58,5,12,1,0,1,4,1,0,0,12,0,0,1,0,1,0.206896551724138,10,0.482758620689655,"AvgPoor","AvgPoor"
"31",30632,2014,"arrueer01","LAN","NL",22,9,22,21,0,0,0,0,0,21,0,0,0,0,0,0,1,1,22,41,4,8,1,0,0,4,0,0,3,17,0,0,0,1,1,0.195121951219512,7,0.463956639566396,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",30633,2014,"ascheco01","PHI","NL",121,105,121,112,0,0,0,0,112,0,0,0,0,0,0,11,1,1,121,397,43,100,25,0,10,46,0,1,33,102,4,0,3,1,6,0.251889168765743,65,0.699012898361844,"AvgPoor","AvgPoor",31325,2015,"PHI","NL",129,112,129,114,0,0,0,0,51,0,63,0,0,63,0,15,0,1,129,425,41,104,22,3,12,39,1,2,26,111,3,4,0,1,4,0.244705882352941,67,0.689153766769866,"AvgPoor","AvgPoor"
"33",30634,2014,"avilaal01","DET","AL",124,116,124,123,0,122,1,0,0,0,0,0,0,0,1,5,0,1,124,390,44,85,22,0,11,47,0,3,61,151,1,3,1,2,6,0.217948717948718,52,0.685728744939271,"AvgPoor","AvgPoor",31327,2015,"DET","AL",67,56,67,65,0,44,23,0,0,0,0,0,0,0,1,4,0,1,67,178,21,34,5,0,4,13,0,1,40,66,0,0,1,0,4,0.191011235955056,25,0.625966395216988,"AvgPoor","AvgPoor"
"34",30635,2014,"avilemi01","CLE","AL",113,88,113,109,0,0,0,33,36,15,27,3,3,33,0,12,2,1,113,344,38,85,16,1,5,39,14,5,13,49,0,1,11,5,10,0.247093023255814,63,0.615750528541226,"AvgPoor","AvgPoor",31328,2015,"CLE","AL",98,79,98,91,0,0,0,11,28,23,34,5,1,39,2,10,4,1,98,290,37,67,10,0,5,17,3,1,20,38,0,1,5,1,18,0.231034482758621,52,0.599292661361627,"AvgPoor","AvgPoor"
"35",30636,2014,"aybarer01","LAA","AL",156,154,156,155,0,0,0,0,0,155,0,0,0,0,0,2,0,1,156,589,77,164,30,4,7,68,16,9,36,62,4,5,3,8,10,0.278438030560272,123,0.699924424267261,"AvgPoor","AvgPoor",31329,2015,"LAA","AL",156,154,156,154,0,0,0,0,0,154,0,0,0,0,1,2,0,1,156,597,74,161,30,1,3,44,15,6,25,73,1,4,7,5,12,0.269681742043551,127,0.639467809199192,"AvgPoor","AvgPoor"
"36",30637,2014,"baezja01","CHN","NL",52,52,52,52,0,0,0,25,0,30,0,0,0,0,0,0,0,1,52,213,25,36,6,0,9,20,5,1,15,95,0,1,0,0,5,0.169014084507042,21,0.551017897779691,"AvgPoor","AvgPoor",31330,2015,"CHN","NL",28,16,28,26,0,0,1,17,11,8,0,0,0,0,0,6,0,1,28,76,4,22,6,0,1,4,1,2,4,24,1,0,0,0,0,0.289473684210526,15,0.732894736842105,"Good","AvgPoor"
"37",30638,2014,"bakerje03","MIA","NL",90,41,90,65,0,0,43,21,2,0,0,0,0,0,0,40,0,1,90,208,27,55,10,4,3,28,1,0,13,51,1,1,0,3,8,0.264423076923077,38,0.700897435897436,"AvgPoor","AvgPoor",31331,2015,"MIA","NL",41,16,41,20,0,0,17,1,1,0,1,0,0,1,1,23,0,1,41,72,11,15,3,0,3,8,0,0,8,25,0,0,0,0,0,0.208333333333333,9,0.6625,"AvgPoor","AvgPoor"
"38",30639,2014,"bakerjo01","CHN","NL",68,51,68,56,1,55,0,0,0,0,0,0,0,0,0,12,1,1,68,182,9,35,7,0,0,15,0,0,19,58,3,2,3,2,3,0.192307692307692,28,0.503939962476548,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",30640,2014,"barmecl01","PIT","NL",48,26,48,44,0,0,2,14,2,27,0,0,0,0,0,4,4,1,48,102,15,25,5,0,0,7,1,1,9,18,2,4,0,1,2,0.245098039215686,20,0.621703853955375,"AvgPoor","AvgPoor",31333,2015,"SDN","NL",98,51,98,89,0,0,1,0,0,89,0,0,0,0,0,26,3,1,98,207,24,48,14,1,3,16,0,1,10,55,2,4,3,0,0,0.231884057971014,30,0.633199991256257,"AvgPoor","AvgPoor"
"40",30641,2014,"barnebr02","COL","NL",132,55,132,74,0,0,0,0,0,0,18,5,55,74,1,67,1,1,132,292,37,75,17,4,8,27,5,4,15,100,0,0,6,0,11,0.256849315068493,46,0.717817143367097,"AvgPoor","AvgPoor",31335,2015,"COL","NL",106,67,106,97,0,0,0,0,0,0,75,11,21,97,0,13,3,1,106,255,30,64,13,2,2,17,4,2,21,67,3,3,1,1,6,0.250980392156863,47,0.65546218487395,"AvgPoor","AvgPoor"
"41",30642,2014,"barneda01","CHN","NL",72,55,72,67,0,0,0,67,0,0,0,0,0,0,0,7,0,1,72,204,18,47,10,2,2,16,1,0,9,31,2,1,2,1,1,0.230392156862745,33,0.593547651618787,"AvgPoor","AvgPoor",31336,2015,"LAN","NL",2,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.288888888888889,"AvgPoor","AvgPoor"
"42",30642,2014,"barneda01","CHN","NL",72,55,72,67,0,0,0,67,0,0,0,0,0,0,0,7,0,1,72,204,18,47,10,2,2,16,1,0,9,31,2,1,2,1,1,0.230392156862745,33,0.593547651618787,"AvgPoor","AvgPoor",31337,2015,"TOR","AL",15,6,15,15,0,0,0,15,0,0,0,0,0,0,0,0,1,2,15,23,4,7,1,0,2,4,0,0,1,2,0,0,2,0,0,0.304347826086957,4,0.942028985507246,"Good","Good"
"43",30643,2014,"barneda01","LAN","NL",22,6,22,14,0,0,0,12,0,2,0,0,0,0,0,11,0,2,22,33,6,10,1,0,1,7,0,0,8,3,0,3,0,1,0,0.303030303030303,8,0.890909090909091,"Good","Good",31336,2015,"LAN","NL",2,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.288888888888889,"AvgPoor","AvgPoor"
"44",30643,2014,"barneda01","LAN","NL",22,6,22,14,0,0,0,12,0,2,0,0,0,0,0,11,0,2,22,33,6,10,1,0,1,7,0,0,8,3,0,3,0,1,0,0.303030303030303,8,0.890909090909091,"Good","Good",31337,2015,"TOR","AL",15,6,15,15,0,0,0,15,0,0,0,0,0,0,0,0,1,2,15,23,4,7,1,0,2,4,0,0,1,2,0,0,2,0,0,0.304347826086957,4,0.942028985507246,"Good","Good"
"45",30644,2014,"barnhtu01","CIN","NL",21,14,21,20,0,20,0,0,0,0,0,0,0,0,0,1,0,1,21,54,3,10,0,0,1,1,0,0,4,10,1,0,2,0,0,0.185185185185185,9,0.482120051085568,"AvgPoor","AvgPoor",31338,2015,"CIN","NL",81,67,81,74,0,73,0,0,0,0,0,0,1,1,0,9,0,1,81,242,23,61,9,0,3,18,0,1,25,45,5,2,2,3,10,0.252066115702479,49,0.649975692756442,"AvgPoor","AvgPoor"
"46",30645,2014,"bartlja01","MIN","AL",3,0,3,2,0,0,0,0,0,0,2,0,0,2,1,0,2,1,3,3,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0.1,0,0.288888888888889,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",30646,2014,"bartoda02","OAK","AL",30,15,30,30,0,0,30,0,0,0,0,0,0,0,0,0,2,1,30,57,7,9,1,0,0,5,0,0,5,14,0,1,0,1,0,0.157894736842105,8,0.409813596491228,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",30647,2014,"bautijo02","TOR","AL",155,154,155,141,0,0,12,0,0,0,0,12,131,133,13,1,0,1,155,553,101,158,27,0,35,103,6,2,104,96,11,9,1,6,18,0.285714285714286,96,0.927686106088005,"Good","Good",31340,2015,"TOR","AL",153,151,153,118,0,0,0,0,0,0,0,0,118,118,33,2,0,1,153,543,108,136,29,3,40,114,8,2,110,106,2,5,0,8,19,0.250460405156538,64,0.912788479086822,"AvgPoor","Good"
"49",30648,2014,"baxtemi01","LAN","NL",4,1,4,1,0,0,0,0,0,0,1,0,0,1,0,3,0,1,4,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0.1,0,0.288888888888889,"AvgPoor","AvgPoor",31341,2015,"CHN","NL",34,10,34,13,0,0,2,0,0,0,1,0,10,11,1,23,0,1,34,57,6,14,1,0,0,2,0,0,7,14,1,2,0,0,3,0.245614035087719,13,0.611642743221691,"AvgPoor","AvgPoor"
"50",30649,2014,"beckhgo01","CHA","AL",101,100,101,100,0,0,0,100,0,0,0,0,0,0,0,1,0,1,101,390,43,86,24,0,7,36,3,0,19,70,1,5,3,5,12,0.220512820512821,55,0.598427268832997,"AvgPoor","AvgPoor",31342,2015,"CHA","AL",100,50,100,90,0,0,0,11,76,5,0,0,0,0,2,17,6,1,100,211,24,44,8,0,6,20,0,1,19,43,1,2,1,4,6,0.208530805687204,30,0.607177283315929,"AvgPoor","AvgPoor"
"51",30650,2014,"beckhgo01","LAA","AL",26,12,26,23,0,0,0,5,13,6,0,0,0,0,1,6,1,2,26,56,10,15,3,0,2,8,0,0,3,11,1,2,0,0,5,0.267857142857143,10,0.756440281030445,"AvgPoor","AvgPoor",31342,2015,"CHA","AL",100,50,100,90,0,0,0,11,76,5,0,0,0,0,2,17,6,1,100,211,24,44,8,0,6,20,0,1,19,43,1,2,1,4,6,0.208530805687204,30,0.607177283315929,"AvgPoor","AvgPoor"
"52",30651,2014,"beltbr01","SFN","NL",61,56,61,59,0,0,59,0,0,0,0,0,1,1,0,4,0,1,61,214,30,52,8,0,12,27,3,1,18,64,2,2,0,1,4,0.242990654205607,32,0.754981109564526,"AvgPoor","AvgPoor",31344,2015,"SFN","NL",137,130,137,131,0,0,120,0,0,0,14,0,0,14,0,6,0,1,137,492,73,138,33,5,18,68,9,3,56,147,2,4,0,4,3,0.280487804878049,82,0.833757384336433,"Good","Good"
"53",30652,2014,"beltrad01","TEX","AL",148,148,148,136,0,0,0,0,136,0,0,0,0,0,12,0,0,1,148,549,79,178,33,1,19,77,1,1,57,74,13,3,0,5,15,0.324225865209472,125,0.879425428525658,"Good","Good",31345,2015,"TEX","AL",143,143,143,142,0,0,0,0,142,0,0,0,0,0,1,0,0,1,143,567,83,163,32,4,18,83,1,0,41,65,4,3,0,8,18,0.287477954144621,109,0.787673125852986,"Good","AvgPoor"
