"","X1.x","yearID.x","playerID","teamID","lgID.x.x","G_all.x","GS.x.x","G_batting.x","G_defense.x","G_p.x","G_c.x","G_1b.x","G_2b.x","G_3b.x","G_ss.x","G_lf.x","G_cf.x","G_rf.x","G_of.x","G_dh.x","G_ph.x","G_pr.x","stint.x.x","G.x.x","AB.x","R.x","H.x","2B.x","3B.x","HR.x","RBI.x","SB.x.x","CS.x.x","BB.x","SO.x","IBB.x","HBP.x","SH.x","SF.x","GIDP.x","BA.x","1B.x","OPS.x","BAClass.x","OPSClass.x","X1.y","yearID.y","lgID.x.y","G_all.y","GS.x.y","G_batting.y","G_defense.y","G_p.y","G_c.y","G_1b.y","G_2b.y","G_3b.y","G_ss.y","G_lf.y","G_cf.y","G_rf.y","G_of.y","G_dh.y","G_ph.y","G_pr.y","stint.x.y","G.x.y","AB.y","R.y","H.y","2B.y","3B.y","HR.y","RBI.y","SB.x.y","CS.x.y","BB.y","SO.y","IBB.y","HBP.y","SH.y","SF.y","GIDP.y","BA.y","1B.y","OPS.y","BAClass.y","OPSClass.y","Improved"
"11",28571,2011,"avilaal01","DET","AL",141,135,141,134,0,133,0,0,1,0,0,0,0,0,4,4,0,1,141,464,63,137,33,4,19,82,3,1,73,131,9,3,3,8,8,0.295258620689655,81,0.895151648628241,"Good","Good",29249,2012,"AL",116,107,116,113,0,113,0,0,0,0,0,0,0,0,0,8,0,1,116,367,42,89,21,2,9,48,2,0,61,104,2,2,2,2,12,0.242506811989101,57,0.736048037137955,"AvgPoor","AvgPoor","No"
"12",28572,2011,"avilemi01","BOS","AL",38,23,38,37,0,0,0,7,22,8,1,0,4,5,0,4,4,2,38,101,17,32,6,0,2,8,4,2,4,17,0,0,1,1,3,0.316831683168317,24,0.77526620586587,"Good","AvgPoor",29250,2012,"AL",136,130,136,130,0,0,0,2,1,128,0,0,0,0,5,1,2,1,136,512,57,128,28,0,13,60,14,6,23,77,0,2,3,6,6,0.25,87,0.662627330801105,"AvgPoor","AvgPoor","No"
"13",28574,2011,"aybarer01","LAA","AL",143,142,143,142,0,0,0,0,0,142,0,0,0,0,0,0,1,1,143,556,71,155,33,8,10,59,30,6,31,68,1,6,9,3,13,0.278776978417266,104,0.743010960359229,"AvgPoor","AvgPoor",29251,2012,"AL",141,137,141,139,0,0,0,0,0,139,0,0,0,0,0,3,0,1,141,517,67,150,31,5,8,45,20,4,22,61,1,5,7,2,11,0.290135396518375,106,0.740036559185495,"Good","AvgPoor","No"
"14",28575,2011,"bakerje03","CHN","NL",81,45,81,56,0,0,19,18,11,0,1,0,10,11,3,30,0,1,81,201,20,54,12,1,3,23,0,0,10,46,0,0,0,1,8,0.26865671641791,38,0.684971369567258,"AvgPoor","AvgPoor",29253,2012,"NL",54,34,54,39,0,0,20,8,0,0,1,0,14,15,0,17,1,1,54,134,16,36,10,1,4,20,4,1,8,28,0,0,0,2,4,0.26865671641791,21,0.753316749585406,"AvgPoor","AvgPoor","No"
"15",28580,2011,"barneda01","CHN","NL",143,128,143,139,0,0,0,135,0,5,0,0,0,0,0,8,0,1,143,529,66,146,23,6,2,43,9,2,22,67,2,8,7,4,14,0.275992438563327,115,0.66610817689464,"AvgPoor","AvgPoor",29259,2012,"NL",156,147,156,155,0,0,0,155,0,3,0,0,0,0,0,4,1,1,156,548,73,139,26,4,7,44,6,1,33,58,1,3,3,1,11,0.253649635036496,102,0.653159897685445,"AvgPoor","AvgPoor","No"
"16",28581,2011,"bartlja01","SDN","NL",139,136,139,138,0,0,0,0,0,138,0,0,0,0,0,3,0,1,139,554,61,136,22,3,2,40,23,10,48,98,0,5,5,6,13,0.245487364620939,109,0.615178944764754,"AvgPoor","AvgPoor",29260,2012,"NL",29,26,29,27,0,0,0,0,0,27,0,0,0,0,0,1,1,1,29,83,8,11,5,0,0,4,0,0,12,27,0,0,2,1,6,0.132530120481928,6,0.432354417670683,"AvgPoor","AvgPoor","No"
"17",28582,2011,"bartoda02","OAK","AL",67,62,67,65,0,0,65,0,0,0,0,0,0,0,0,3,1,1,67,236,27,50,13,0,0,21,2,1,39,47,3,2,0,3,6,0.211864406779661,37,0.591949152542373,"AvgPoor","AvgPoor",29261,2012,"AL",46,33,46,43,0,0,43,0,0,0,0,0,0,0,0,5,0,1,46,113,8,23,7,0,1,6,1,0,22,32,0,1,0,0,1,0.20353982300885,15,0.630270692347736,"AvgPoor","AvgPoor","No"
"18",28583,2011,"bautijo02","TOR","AL",149,149,149,141,0,0,0,0,25,0,0,0,116,116,9,0,0,1,149,513,105,155,24,2,43,103,9,5,132,111,24,6,0,4,8,0.302144249512671,86,1.05551537877773,"Good","Good",29262,2012,"AL",92,92,92,90,0,0,4,0,1,0,0,0,90,90,2,0,0,1,92,332,64,80,14,0,27,65,5,2,59,63,2,4,0,4,11,0.240963855421687,39,0.885504423709877,"AvgPoor","Good","No"
"19",28584,2011,"baxtemi01","NYN","NL",22,7,22,13,0,0,0,0,0,0,3,0,10,13,0,8,1,1,22,34,6,8,2,1,1,4,0,0,5,9,0,1,0,0,1,0.235294117647059,4,0.791176470588235,"AvgPoor","AvgPoor",29263,2012,"NL",89,45,89,63,0,0,0,0,0,0,18,1,45,63,1,35,1,1,89,179,26,47,14,2,3,17,5,3,25,45,4,5,0,2,0,0.262569832402235,28,0.778336731181657,"AvgPoor","AvgPoor","No"
"20",28585,2011,"bayja01","NYN","NL",123,121,123,122,0,0,0,0,0,0,122,0,0,122,0,0,1,1,123,444,59,109,19,1,12,57,11,1,56,109,3,2,1,6,8,0.245495495495495,77,0.702614031354189,"AvgPoor","AvgPoor",29264,2012,"NL",70,54,70,65,0,0,0,0,0,0,65,0,0,65,0,7,2,1,70,194,21,32,2,0,8,20,5,1,19,58,0,0,0,2,3,0.164948453608247,22,0.53617837449053,"AvgPoor","AvgPoor","No"
"21",28586,2011,"beckhgo01","CHA","AL",150,147,150,149,0,0,0,149,0,0,0,0,0,0,1,1,1,1,150,499,60,115,23,0,10,44,5,3,35,111,0,13,7,3,6,0.230460921843687,82,0.633036983057023,"AvgPoor","AvgPoor",29265,2012,"AL",151,148,151,149,0,0,0,149,0,0,0,0,0,0,1,1,2,1,151,525,62,123,24,0,16,60,5,4,40,89,0,7,8,2,10,0.234285714285714,83,0.667595818815331,"AvgPoor","AvgPoor","No"
"22",28588,2011,"beltbr01","SFN","NL",63,50,63,56,0,0,31,0,0,0,31,0,1,32,0,8,2,1,63,187,21,42,6,1,9,18,3,2,20,57,1,2,0,0,3,0.224598930481283,26,0.717984801576133,"AvgPoor","AvgPoor",29267,2012,"NL",145,106,145,140,0,0,139,0,0,0,4,0,0,4,0,14,3,1,145,411,47,113,27,6,7,56,12,2,54,106,5,3,0,4,2,0.274939172749392,73,0.781094065734669,"AvgPoor","AvgPoor","No"
"23",28589,2011,"beltrad01","TEX","AL",124,123,124,112,0,0,0,0,112,0,0,0,0,0,11,1,0,1,124,487,82,144,33,0,32,105,1,1,25,53,0,5,0,8,13,0.295687885010267,79,0.892003520093869,"Good","Good",29268,2012,"AL",156,152,156,129,0,0,0,0,129,0,0,0,0,0,23,4,0,1,156,604,95,194,33,2,36,102,1,0,36,82,8,5,0,9,8,0.321192052980132,123,0.920585495271078,"Good","Good","No"
"24",28593,2011,"berkmla01","SLN","NL",145,141,145,141,0,0,21,0,0,0,16,0,110,126,2,3,0,1,145,488,90,147,23,2,31,94,2,6,92,93,17,3,0,4,7,0.301229508196721,91,0.959396905632977,"Good","Good",29270,2012,"NL",32,22,32,23,0,0,23,0,0,0,0,0,0,0,0,10,0,1,32,81,12,21,7,1,2,7,2,0,14,19,3,2,0,0,3,0.259259259259259,11,0.825887743413517,"AvgPoor","Good","No"
"25",28594,2011,"bernaro01","WAS","NL",91,71,91,84,0,0,0,0,0,0,36,56,10,84,0,7,4,1,91,309,40,75,12,2,7,27,17,3,22,63,1,4,2,0,7,0.242718446601942,54,0.663952084238999,"AvgPoor","AvgPoor",29271,2012,"NL",129,48,129,94,0,0,0,0,0,0,57,37,7,94,0,46,8,1,129,227,25,66,11,0,5,25,15,3,28,53,3,2,3,1,2,0.290748898678414,50,0.777379366868149,"Good","AvgPoor","No"
"26",28599,2011,"blackch02","COL","NL",27,25,27,27,0,0,0,0,0,0,25,2,0,27,0,2,0,1,27,98,9,25,1,0,1,8,5,1,3,8,1,0,1,0,2,0.255102040816327,23,0.573146090119216,"AvgPoor","AvgPoor",29277,2012,"NL",42,24,42,33,0,0,0,0,0,0,15,1,17,33,0,11,2,1,42,113,15,32,8,0,2,9,1,2,4,17,0,3,1,0,4,0.283185840707965,22,0.732079646017699,"Good","AvgPoor","No"
"27",28602,2011,"blanche01","ARI","NL",37,31,37,37,0,37,0,0,0,0,0,0,0,0,0,1,0,1,37,100,12,25,3,1,8,12,0,1,12,21,1,0,0,0,2,0.25,13,0.870357142857143,"AvgPoor","Good",29279,2012,"NL",21,18,21,21,0,21,0,0,0,0,0,0,0,0,0,2,0,1,21,64,6,12,3,0,1,7,1,0,3,18,0,0,0,0,1,0.1875,8,0.505130597014925,"AvgPoor","AvgPoor","No"
"28",28603,2011,"blankky01","SDN","NL",55,45,55,48,0,0,13,0,0,0,37,0,0,37,0,10,0,1,55,170,21,39,7,1,7,26,2,0,16,51,0,2,0,2,3,0.229411764705882,24,0.705882352941176,"AvgPoor","AvgPoor",29280,2012,"NL",4,1,4,2,0,0,1,0,0,0,1,0,0,1,0,3,0,1,4,5,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0.2,1,0.533333333333333,"AvgPoor","AvgPoor","No"
"29",28604,2011,"bloomwi01","ARI","NL",97,80,97,83,0,0,0,1,0,59,25,0,0,25,0,16,1,1,97,350,44,93,10,2,4,26,20,10,23,51,3,4,2,2,3,0.265714285714286,77,0.656622691292876,"AvgPoor","AvgPoor",29281,2012,"NL",80,73,80,75,0,0,0,1,11,64,1,0,1,2,0,4,1,1,80,324,47,98,21,5,0,23,7,10,12,55,0,0,0,2,5,0.302469135802469,72,0.723591935130397,"Good","AvgPoor","No"
"30",28605,2011,"blumge01","ARI","NL",23,12,23,14,0,0,0,0,14,0,0,0,0,0,0,11,0,1,23,49,8,11,3,0,2,10,0,0,5,9,1,1,0,0,2,0.224489795918367,6,0.717254174397032,"AvgPoor","AvgPoor",29282,2012,"NL",17,5,17,6,0,0,0,0,6,0,0,0,0,0,0,12,0,1,17,28,1,4,0,0,0,1,0,0,2,7,0,0,0,1,0,0.142857142857143,4,0.336405529953917,"AvgPoor","AvgPoor","No"
"31",28606,2011,"boescbr01","DET","AL",115,108,115,101,0,0,0,0,0,0,57,0,51,101,11,6,1,1,115,428,75,121,25,1,16,54,5,3,35,83,2,5,0,4,7,0.282710280373832,79,0.799045620148899,"Good","AvgPoor",29283,2012,"AL",132,123,132,121,0,0,0,0,0,0,0,0,121,121,9,8,0,1,132,470,52,113,22,2,12,54,6,3,26,104,1,5,0,2,11,0.240425531914894,77,0.658622731694937,"AvgPoor","AvgPoor","No"
"32",28608,2011,"bogusbr01","HOU","NL",87,35,87,53,0,0,0,0,0,0,13,0,40,53,0,38,5,1,87,164,22,47,14,1,4,15,4,2,15,40,1,1,1,1,8,0.286585365853659,28,0.805383371513273,"Good","Good",29284,2012,"NL",146,83,146,121,1,0,0,0,0,0,1,20,104,121,0,36,4,1,146,355,39,72,9,2,7,28,15,4,41,96,1,7,0,1,6,0.202816901408451,54,0.595621252266072,"AvgPoor","AvgPoor","No"
"33",28611,2011,"boscajc01","ATL","NL",4,2,4,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,4,9,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0.333333333333333,3,0.666666666666667,"Good","AvgPoor",29286,2012,"NL",6,2,6,6,0,6,0,0,0,0,0,0,0,0,0,0,1,1,6,10,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0.2,2,0.4,"AvgPoor","AvgPoor","No"
"34",28613,2011,"bourjpe01","LAA","AL",147,138,147,147,0,0,0,0,0,0,0,147,0,147,0,1,0,1,147,502,72,136,26,11,12,43,22,9,32,124,0,10,7,1,7,0.270916334661355,87,0.764852516539347,"AvgPoor","AvgPoor",29288,2012,"AL",101,48,101,90,0,0,0,0,0,0,0,90,0,90,5,2,17,1,101,168,27,37,7,0,3,19,3,1,15,44,0,3,6,3,2,0.220238095238095,27,0.606481481481481,"AvgPoor","AvgPoor","No"
"35",28614,2011,"bournmi01","ATL","NL",53,53,53,53,0,0,0,0,0,0,0,53,0,53,0,0,0,2,53,227,30,63,8,3,1,18,22,7,15,50,1,1,3,3,1,0.277533039647577,51,0.673561118871101,"AvgPoor","AvgPoor",29289,2012,"NL",155,151,155,153,0,0,0,0,0,0,0,153,0,153,0,3,0,1,155,624,96,171,26,10,9,57,42,13,70,155,1,3,2,4,2,0.274038461538462,126,0.739099820768865,"AvgPoor","AvgPoor","No"
"36",28619,2011,"brantmi02","CLE","AL",114,109,114,111,0,0,0,0,0,0,66,52,0,111,3,1,2,1,114,451,63,120,24,4,7,46,13,5,34,76,2,3,3,5,11,0.266075388026608,85,0.702050435588258,"AvgPoor","AvgPoor",29290,2012,"AL",149,143,149,144,0,0,0,0,0,0,0,144,0,144,3,4,1,1,149,552,63,159,37,4,6,60,12,9,53,56,12,0,0,4,7,0.28804347826087,112,0.750285571499964,"Good","AvgPoor","No"
"37",28622,2011,"braunry02","MIL","NL",150,147,150,147,0,0,0,0,0,0,147,0,0,147,1,3,0,1,150,563,109,187,38,6,33,111,33,6,58,93,2,5,0,3,9,0.33214920071048,110,0.994259121727516,"Good","Good",29292,2012,"NL",154,153,154,151,0,0,0,0,0,0,151,0,0,151,2,1,0,1,154,598,108,191,36,3,41,112,30,7,63,128,15,11,0,5,12,0.319397993311037,111,0.986750517480721,"Good","Good","No"
"38",28623,2011,"brignre01","TBA","AL",92,76,92,91,0,0,0,0,0,91,0,0,0,0,0,0,1,1,92,249,18,48,4,0,1,15,3,1,10,63,1,1,4,0,2,0.192771084337349,43,0.447806611059623,"AvgPoor","AvgPoor",29293,2012,"AL",16,5,16,16,0,0,0,1,4,11,1,0,0,1,0,1,0,1,16,21,1,2,0,0,0,1,0,0,1,5,0,0,0,0,0,0.1,2,0.288888888888889,"AvgPoor","AvgPoor","No"
"39",28625,2011,"browndo01","PHI","NL",56,49,56,52,0,0,0,0,0,0,0,0,52,52,0,5,1,1,56,184,28,45,10,1,5,19,3,1,25,35,1,0,0,1,2,0.244565217391304,29,0.72463768115942,"AvgPoor","AvgPoor",29296,2012,"NL",56,51,56,51,0,0,0,0,0,0,29,0,38,51,0,5,0,1,56,187,21,44,11,2,5,26,0,0,21,34,2,2,0,2,6,0.235294117647059,26,0.711759660982746,"AvgPoor","AvgPoor","No"
"40",28627,2011,"bruceja01","CIN","NL",157,151,157,155,0,0,0,0,0,0,0,0,155,155,0,4,0,1,157,585,84,150,27,2,32,97,8,7,71,158,14,5,1,2,8,0.256410256410256,89,0.81437908496732,"AvgPoor","Good",29297,2012,"NL",155,149,155,154,0,0,0,0,0,0,0,0,154,154,0,5,0,1,155,560,89,141,35,5,34,99,9,3,62,155,11,4,0,7,5,0.251785714285714,67,0.841299932295193,"AvgPoor","Good","No"
"41",28631,2011,"burriem01","SFN","NL",59,28,59,50,0,0,2,39,2,9,2,0,0,2,0,8,15,1,59,137,14,28,1,0,0,4,11,3,6,17,0,3,6,0,2,0.204379562043796,27,0.465103489651035,"AvgPoor","AvgPoor",29300,2012,"NL",60,34,60,48,0,0,0,37,6,6,0,0,1,1,0,10,5,1,60,136,15,29,1,0,0,7,5,3,10,25,1,1,2,1,6,0.213235294117647,28,0.490858505564388,"AvgPoor","AvgPoor","No"
"42",28633,2011,"buterdr01","MIN","AL",93,75,93,93,0,93,0,0,0,0,0,0,0,0,0,1,1,1,93,234,19,39,9,1,2,23,0,0,11,42,0,2,6,1,7,0.166666666666667,27,0.448993658671078,"AvgPoor","AvgPoor",29302,2012,"AL",42,32,42,42,1,41,0,0,0,0,0,0,0,0,0,3,0,1,42,111,7,22,6,0,1,5,0,0,9,26,0,2,0,0,3,0.198198198198198,15,0.549771082557968,"AvgPoor","AvgPoor","No"
"43",28634,2011,"butlebi03","KCA","AL",159,153,159,11,0,0,11,0,0,0,0,0,0,0,142,6,0,1,159,597,74,174,44,0,19,95,2,1,66,95,15,3,0,7,16,0.291457286432161,111,0.821706352465647,"Good","Good",29303,2012,"AL",161,158,161,20,0,0,20,0,0,0,0,0,0,0,138,3,0,1,161,614,72,192,32,1,29,107,2,1,54,111,9,7,0,4,20,0.312703583061889,130,0.882378761639314,"Good","Good","No"
"44",28635,2011,"byrdma01","CHN","NL",119,115,119,118,0,0,0,0,0,0,0,118,0,118,0,1,0,1,119,446,51,123,22,2,9,35,3,2,25,78,2,8,1,2,13,0.275784753363229,90,0.718943158405042,"AvgPoor","AvgPoor",29305,2012,"NL",13,13,13,13,0,0,0,0,0,0,0,13,0,13,0,0,0,1,13,43,1,3,0,0,0,2,0,1,3,10,1,1,0,0,2,0.1,3,0.288888888888889,"AvgPoor","AvgPoor","No"
"45",28636,2011,"cabreas01","CLE","AL",151,151,151,151,0,0,0,0,0,151,0,0,0,0,0,0,0,1,151,604,87,165,32,3,25,92,17,5,44,119,5,11,4,4,10,0.27317880794702,105,0.792089938369642,"AvgPoor","AvgPoor",29306,2012,"AL",143,140,143,136,0,0,0,0,0,136,0,0,0,0,6,1,0,1,143,555,70,150,35,1,16,68,9,4,52,99,3,6,1,2,18,0.27027027027027,98,0.761634805537245,"AvgPoor","AvgPoor","No"
"46",28637,2011,"cabreev01","SDN","NL",2,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,8,1,1,0,0,0,0,2,0,1,3,0,0,0,0,0,0.125,1,0.347222222222222,"AvgPoor","AvgPoor",29307,2012,"NL",115,109,115,114,0,0,0,6,1,111,0,0,0,0,0,2,2,1,115,398,49,98,19,3,2,24,44,4,43,110,2,3,5,0,3,0.246231155778894,74,0.6484449273394,"AvgPoor","AvgPoor","No"
"47",28639,2011,"cabremi01","DET","AL",161,159,161,152,0,0,152,0,0,0,0,0,0,0,7,2,0,1,161,572,111,197,48,0,30,105,2,1,108,89,22,3,0,5,24,0.344405594405594,119,1.03333875426899,"Good","Good",29309,2012,"AL",161,161,161,154,0,0,2,0,154,0,0,0,0,0,7,0,0,1,161,622,109,205,40,0,44,139,4,1,66,98,17,3,0,6,28,0.329581993569132,121,0.999222667656977,"Good","Good","No"
"48",28642,2011,"cainlo01","KCA","AL",6,6,6,6,0,0,0,0,0,0,0,2,4,6,0,0,0,1,6,22,4,6,1,0,0,1,0,0,1,4,0,0,0,0,0,0.272727272727273,5,0.622529644268775,"AvgPoor","AvgPoor",29310,2012,"AL",61,55,61,60,0,0,0,0,0,0,1,50,9,60,1,4,1,1,61,222,27,59,9,2,7,31,10,0,15,56,0,3,0,4,4,0.265765765765766,41,0.734492689410722,"AvgPoor","AvgPoor","No"
"49",28643,2011,"cairomi01","CIN","NL",102,56,102,73,0,0,5,13,58,0,0,0,0,0,0,34,1,1,102,245,33,65,8,2,8,33,3,4,18,36,1,7,3,3,3,0.26530612244898,47,0.741915227629513,"AvgPoor","AvgPoor",29311,2012,"NL",70,31,70,45,0,0,24,8,13,0,0,0,0,0,1,24,3,1,70,150,9,28,7,2,1,13,4,0,4,20,0,1,0,1,4,0.186666666666667,18,0.491538461538462,"AvgPoor","AvgPoor","No"
"50",28644,2011,"callaal01","LAA","AL",141,125,141,129,0,0,0,0,129,0,0,0,0,0,0,13,1,1,141,475,54,137,23,0,6,46,8,1,58,48,8,1,0,2,11,0.288421052631579,108,0.740408483896308,"Good","AvgPoor",29313,2012,"AL",138,122,138,131,0,0,0,0,131,0,0,0,0,0,0,10,2,1,138,457,55,115,20,0,10,53,4,3,56,59,1,0,3,4,6,0.25164113785558,85,0.691804680258519,"AvgPoor","AvgPoor","No"
"51",28647,2011,"campato01","CHN","NL",95,26,95,66,0,0,0,0,0,0,35,29,5,66,1,28,17,1,95,143,24,37,3,0,1,6,24,2,8,30,1,1,3,0,1,0.258741258741259,33,0.603330879646669,"AvgPoor","AvgPoor",29314,2012,"NL",89,38,89,69,0,0,0,0,0,0,11,55,4,69,0,22,11,1,89,174,26,46,6,0,0,5,30,3,11,43,0,0,7,0,0,0.264367816091954,40,0.606958682820752,"AvgPoor","AvgPoor","No"
"52",28649,2011,"canoro01","NYA","AL",159,157,159,157,0,0,0,157,0,0,0,0,0,0,7,2,0,1,159,623,104,188,46,7,28,118,8,2,38,96,11,12,0,8,18,0.301765650080257,107,0.882391346876819,"Good","Good",29315,2012,"AL",161,159,161,154,0,0,0,154,0,0,0,0,0,0,9,2,0,1,161,627,105,196,48,1,33,94,3,2,61,96,10,7,0,2,22,0.312599681020734,114,0.929005375052343,"Good","Good","No"
"53",28651,2011,"carpema01","SLN","NL",7,4,7,5,0,0,0,0,5,0,0,0,0,0,0,2,0,1,7,15,0,1,1,0,0,0,0,0,4,4,0,0,0,0,0,0.1,0,0.396491228070175,"AvgPoor","AvgPoor",29319,2012,"NL",114,66,114,90,0,0,44,5,33,0,7,0,15,21,0,37,1,1,114,296,44,87,22,5,6,46,1,1,34,63,2,3,0,7,10,0.293918918918919,54,0.827543720190779,"Good","Good","Yes"
"54",28652,2011,"carpmi01","SEA","AL",79,75,79,57,0,0,34,0,0,0,27,0,1,28,19,4,0,1,79,290,27,80,17,1,12,46,0,2,19,81,0,3,0,1,10,0.275862068965517,50,0.791395835628512,"AvgPoor","AvgPoor",29320,2012,"AL",59,48,59,47,0,0,23,0,0,0,24,0,0,24,4,11,0,1,59,164,17,35,6,0,5,20,1,0,21,46,1,3,0,1,7,0.213414634146341,24,0.653632726803459,"AvgPoor","AvgPoor","No"
